route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed
1,daily,1,Isgoyska Xoosh,,0,,1,,,
1,daily,2,Isbitaalka Keysane,,1,,1,,,
2,daily,3,Ex Control Afgooye,,0,,2,,,
2,daily,4,Xamar Weyn Terminal,,1,,2,,,
3,daily,5,Suuqa Xolaha,,0,,3,,,
3,daily,6,Xamar Weyn Terminal,,1,,3,,,
4,daily,7,Aden Adde International Airport,,0,,4,,,
4,daily,8,Xaafada Buulo Maaxaay,,1,,4,,,
5,daily,9,Degmada Kaxda,,0,,5,,,
5,daily,10,Ex Control Balcad,,1,,5,,,
6,daily,11,Daru Salaam,,0,,6,,,
6,daily,12,Xamar Weyn Terminal,,1,,6,,,
7,daily,13,Jazeera Beach,,0,,7,,,
7,daily,14,Isgoyska Soobe,,1,,7,,,
8,daily,15,Degaanka Ceelasha Biyaha,,0,,8,,,
8,daily,16,Isgoyska Soobe,,1,,8,,,
9,daily,17,Degmada Dayniile,,0,,9,,,
9,daily,18,KM4,,1,,9,,,
