trip_id,start_time,end_time,headway_secs,exact_times
1,04:00:00,23:00:00,720,0
2,04:00:00,23:00:00,720,0
3,04:00:00,23:00:00,720,0
4,04:00:00,23:00:00,720,0
5,04:00:00,23:00:00,720,0
6,04:00:00,23:00:00,720,0
7,04:00:00,23:00:00,720,0
8,04:00:00,23:00:00,720,0
9,04:00:00,23:00:00,720,0
10,04:00:00,23:00:00,720,0
11,05:30:00,20:30:01,18000,1
12,05:30:00,20:30:01,18000,1
13,06:30:00,18:30:01,43200,1
14,06:30:00,18:30:01,43200,1
15,05:30:00,20:30:01,18000,1
16,05:30:00,20:30:01,18000,1
17,06:30:00,18:30:01,43200,1
18,06:30:00,18:30:01,43200,1
