shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,2.05947136,45.38644484,1,0.0
1,2.05944678,45.38643153,2,3.09
1,2.05914427,45.3857665,3,84.29
1,2.05889454,45.38509427,4,164.01
1,2.05843142,45.38379389,5,317.47
1,2.05768539,45.38151739,6,583.82
1,2.05651365,45.37777644,7,1019.7
1,2.05379176,45.3704966,8,1883.69
1,2.05268549,45.36767226,9,2220.86
1,2.04981265,45.35987101,10,3145.05
1,2.0523564,45.35894461,11,3444.62
1,2.05261613,45.35882769,12,3476.14
1,2.05289298,45.35845385,13,3527.79
1,2.05377786,45.35715286,14,3702.49
1,2.05395647,45.35690115,15,3736.76
1,2.05406215,45.35660923,16,3771.27
1,2.05406513,45.35624433,17,3811.87
1,2.05322639,45.3507343,18,4431.82
1,2.05146648,45.33967217,19,5677.76
1,2.05084637,45.33557596,20,6138.59
1,2.05041298,45.33300243,21,6428.87
1,2.05009619,45.33200066,22,6545.7
1,2.04880869,45.32848717,23,6961.69
1,2.04778092,45.32564018,24,7298.18
1,2.04553634,45.31935195,25,8040.47
1,2.04295736,45.31224314,26,8881.16
1,2.04281768,45.31191166,27,8921.14
1,2.04263014,45.31148718,28,8972.72
1,2.04174451,45.30984661,29,9179.84
1,2.04104271,45.30856126,30,9342.54
1,2.04088121,45.308387,31,9368.89
1,2.04040565,45.30810401,32,9430.18
1,2.03957211,45.30763262,33,9536.23
1,2.03848405,45.3070376,34,9673.55
1,2.03828907,45.3069125,35,9699.21
1,2.0381432,45.30668164,36,9729.54
1,2.03813129,45.30647983,37,9752.03
1,2.0384394,45.30586173,38,9828.77
1,2.03971352,45.30364401,39,10112.88
1,2.03479417,45.3009482,40,10734.04
1,2.03468469,45.30087393,41,10748.69
1,2.03262223,45.30460375,42,11222.18
1,2.0303929,45.30330625,43,11507.84
1,2.02639479,45.30104561,44,12016.46
1,2.02251163,45.2988279,45,12511.68
1,2.01784447,45.29611789,46,13109.37
1,2.01924973,45.29362173,47,13427.59
1,2.02096664,45.29056749,48,13816.81
1,2.02215911,45.28845177,49,14086.61
1,2.02540848,45.28263758,50,14826.53
1,2.02590739,45.28174881,51,14939.75
1,2.02760488,45.27868298,52,15329.07
1,2.02808615,45.27780112,53,15440.68
1,2.02932076,45.27560412,54,15720.64
1,2.03001891,45.27441398,55,15873.9
1,2.03005033,45.27427058,56,15890.23
1,2.03131866,45.27208278,57,16171.14
1,2.03198462,45.2708543,58,16326.38
1,2.03223139,45.27046628,59,16377.45
1,2.03250192,45.26993102,60,16444.09
1,2.03297706,45.26907523,61,16552.83
1,2.03391738,45.26738128,62,16768.06
1,2.03392045,45.26730766,63,16776.26
1,2.03464082,45.26610295,64,16932.17
1,2.0351198,45.26524716,65,17041.12
1,2.0356072,45.26445424,66,17144.49
1,2.0357313,45.26473087,67,17178.18
1,2.03546021,45.26469412,68,17208.44
1,2.0351198,45.26524716,69,17280.56
1,2.03464082,45.26610295,70,17389.51
1,2.03392045,45.26730766,71,17545.42
1,2.03391738,45.26738128,72,17553.61
1,2.03297706,45.26907523,73,17768.85
1,2.03250192,45.26993102,74,17877.59
1,2.03223139,45.27046628,75,17944.23
1,2.03198462,45.2708543,76,17995.3
1,2.03131866,45.27208278,77,18150.54
1,2.03005033,45.27427058,78,18431.45
1,2.03001891,45.27441398,79,18447.78
1,2.02932076,45.27560412,80,18601.04
1,2.02808615,45.27780112,81,18881.0
1,2.02760488,45.27868298,82,18992.61
1,2.02590739,45.28174881,83,19381.92
1,2.02540848,45.28263758,84,19495.15
1,2.01924973,45.29362173,85,20894.09
1,2.01784447,45.29611789,86,21212.31
1,2.02251163,45.2988279,87,21809.99
1,2.02639479,45.30104561,88,22305.21
1,2.0303929,45.30330625,89,22813.83
1,2.03262223,45.30460375,90,23099.5
1,2.03468469,45.30087393,91,23572.98
1,2.03479417,45.3009482,92,23587.64
1,2.03971352,45.30364401,93,24208.8
1,2.0384394,45.30586173,94,24492.91
1,2.03813129,45.30647983,95,24569.65
1,2.0381432,45.30668164,96,24592.14
1,2.03828907,45.3069125,97,24622.47
1,2.03848405,45.3070376,98,24648.13
1,2.03957211,45.30763262,99,24785.45
