from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
002,055,,,,,0,180
002,401,,,,,0,180
002,437,,,,,0,180
055,002,,,,,0,180
055,401,,,,,0,180
055,437,,,,,0,180
401,002,,,,,0,180
401,055,,,,,0,180
401,437,,,,,0,180
437,002,,,,,0,180
437,055,,,,,0,180
437,401,,,,,0,180
007,050,,,,,0,180
007,305,,,,,0,180
007,320,,,,,0,180
050,007,,,,,0,180
050,305,,,,,0,180
050,320,,,,,0,180
305,007,,,,,0,180
305,050,,,,,0,180
305,320,,,,,0,180
320,007,,,,,0,180
320,050,,,,,0,180
320,305,,,,,0,180
008,049,,,,,0,180
008,604,,,,,0,180
008,613,,,,,0,180
049,008,,,,,0,180
049,604,,,,,0,180
049,613,,,,,0,180
604,008,,,,,0,180
604,049,,,,,0,180
604,613,,,,,0,180
613,008,,,,,0,180
613,049,,,,,0,180
613,604,,,,,0,180
016,041,,,,,0,180
016,415,,,,,0,180
016,423,,,,,0,180
016,902,,,,,0,180
016,907,,,,,0,180
041,016,,,,,0,180
041,415,,,,,0,180
041,423,,,,,0,180
041,902,,,,,0,180
041,907,,,,,0,180
415,016,,,,,0,180
415,041,,,,,0,180
415,423,,,,,0,180
415,902,,,,,0,180
415,907,,,,,0,180
423,016,,,,,0,180
423,041,,,,,0,180
423,415,,,,,0,180
423,902,,,,,0,180
423,907,,,,,0,180
902,016,,,,,0,180
902,041,,,,,0,180
902,415,,,,,0,180
902,423,,,,,0,180
902,907,,,,,0,180
907,016,,,,,0,180
907,041,,,,,0,180
907,415,,,,,0,180
907,423,,,,,0,180
907,902,,,,,0,180
019,038,,,,,0,180
019,207,,,,,0,180
019,216,,,,,0,180
019,802,,,,,0,180
019,809,,,,,0,180
038,019,,,,,0,180
038,207,,,,,0,180
038,216,,,,,0,180
038,802,,,,,0,180
038,809,,,,,0,180
207,019,,,,,0,180
207,038,,,,,0,180
207,216,,,,,0,180
207,802,,,,,0,180
207,809,,,,,0,180
216,019,,,,,0,180
216,038,,,,,0,180
216,207,,,,,0,180
216,802,,,,,0,180
216,809,,,,,0,180
802,019,,,,,0,180
802,038,,,,,0,180
802,207,,,,,0,180
802,216,,,,,0,180
802,809,,,,,0,180
809,019,,,,,0,180
809,038,,,,,0,180
809,207,,,,,0,180
809,216,,,,,0,180
809,802,,,,,0,180
020,037,,,,,0,180
020,206,,,,,0,180
020,217,,,,,0,180
020,701,,,,,0,180
020,707,,,,,0,180
020,801,,,,,0,180
020,810,,,,,0,180
037,020,,,,,0,180
037,206,,,,,0,180
037,217,,,,,0,180
037,701,,,,,0,180
037,707,,,,,0,180
037,801,,,,,0,180
037,810,,,,,0,180
206,020,,,,,0,180
206,037,,,,,0,180
206,217,,,,,0,180
206,701,,,,,0,180
206,707,,,,,0,180
206,801,,,,,0,180
206,810,,,,,0,180
217,020,,,,,0,180
217,037,,,,,0,180
217,206,,,,,0,180
217,701,,,,,0,180
217,707,,,,,0,180
217,801,,,,,0,180
217,810,,,,,0,180
701,020,,,,,0,180
701,037,,,,,0,180
701,206,,,,,0,180
701,217,,,,,0,180
701,707,,,,,0,180
701,801,,,,,0,180
701,810,,,,,0,180
707,020,,,,,0,180
707,037,,,,,0,180
707,206,,,,,0,180
707,217,,,,,0,180
707,701,,,,,0,180
707,801,,,,,0,180
707,810,,,,,0,180
801,020,,,,,0,180
801,037,,,,,0,180
801,206,,,,,0,180
801,217,,,,,0,180
801,701,,,,,0,180
801,707,,,,,0,180
801,810,,,,,0,180
810,020,,,,,0,180
810,037,,,,,0,180
810,206,,,,,0,180
810,217,,,,,0,180
810,701,,,,,0,180
810,707,,,,,0,180
810,801,,,,,0,180
023,034,,,,,0,180
023,702,,,,,0,180
023,706,,,,,0,180
034,023,,,,,0,180
034,702,,,,,0,180
034,706,,,,,0,180
702,023,,,,,0,180
702,034,,,,,0,180
702,706,,,,,0,180
706,023,,,,,0,180
706,034,,,,,0,180
706,702,,,,,0,180
024,033,,,,,0,180
024,703,,,,,0,180
024,705,,,,,0,180
033,024,,,,,0,180
033,703,,,,,0,180
033,705,,,,,0,180
703,024,,,,,0,180
703,033,,,,,0,180
703,705,,,,,0,180
705,024,,,,,0,180
705,033,,,,,0,180
705,703,,,,,0,180
028,029,,,,,0,180
028,514,,,,,0,180
028,519,,,,,0,180
029,028,,,,,0,180
029,514,,,,,0,180
029,519,,,,,0,180
514,028,,,,,0,180
514,029,,,,,0,180
514,519,,,,,0,180
519,028,,,,,0,180
519,029,,,,,0,180
519,514,,,,,0,180
307,318,,,,,0,180
307,405,,,,,0,180
307,433,,,,,0,180
318,307,,,,,0,180
318,405,,,,,0,180
318,433,,,,,0,180
405,307,,,,,0,180
405,318,,,,,0,180
405,433,,,,,0,180
433,307,,,,,0,180
433,318,,,,,0,180
433,405,,,,,0,180
407,431,,,,,0,180
407,605,,,,,0,180
407,612,,,,,0,180
431,407,,,,,0,180
431,605,,,,,0,180
431,612,,,,,0,180
605,407,,,,,0,180
605,431,,,,,0,180
605,612,,,,,0,180
612,407,,,,,0,180
612,431,,,,,0,180
612,605,,,,,0,180
412,426,,,,,0,180
412,509,,,,,0,180
412,524,,,,,0,180
426,412,,,,,0,180
426,509,,,,,0,180
426,524,,,,,0,180
509,412,,,,,0,180
509,426,,,,,0,180
509,524,,,,,0,180
524,412,,,,,0,180
524,426,,,,,0,180
524,509,,,,,0,180
414,424,,,,,0,180
424,414,,,,,0,180
205,218,,,,,0,180
205,417,,,,,0,180
